Permission Number,Name,Activity Type Description,Document URL,Site Address,Site Postcode,Site Grid Reference,Local Authority,Permission Date
EPR/JP3934YR,MERCER FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Lower Farm, Lower Farm - EPR/JP3934YR, Eastmoor, Chesterfield, Derbyshire, S42 7DA",S42 7DA,SK3070071500,North East Derbyshire,2017-08-04
EPR/PP3137YE,CROCKWAY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Woodlark Farming LImited, Meadow Farm Pig Unit EPR/PP3137YE, Meadow Farm Unit, Thetford Road, Northwold, Norfolk, IP26 5LQ",IP26 5LQ,TL7408098310,King's Lynn and West Norfolk,2017-07-27
EPR/AP3439DZ,NEWCOME-BAKER FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/pe36-5ll-newcome-baker-farms-limited-eprap3439dzv003-environmental-permit-issued,"Whin Close Poultry Farm, Whin Close Poultry Farm EPR/AP3439DZ, Docking Road, Sedgeford, Hunstanton, Norfolk, PE36 5LL",PE36 5LL,TF7250037120,King's Lynn and West Norfolk,2017-07-13
EPR/HP3330AY,SELLMOR FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/yo42-4lj-sellmor-farming-limited-environmental-permit-issued,"North Farm, North Farm, Thorpe le Street, North Yorkshire, YO42 4LJ",YO42 4LJ,SE8371044020,East Riding of Yorkshire,2017-06-20
EPR/UP3936RL,WAYLAND FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/nr17-1by-wayland-farms-limited-environmental-permit-issued,"Cherry Tree Farm, Cherry Tree Farm EPR/UP3936RL, Stow Bedon, Attleborough, Norfolk, NR17 1BY",NR17 1BY,TL9560095400,Breckland,2017-01-04
EPR/JP3237DN,TALL TREES FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Green Trees, Green Trees Poultry Farm EPR/JP3237DN, King Street, Byley, Cheshire, CW10 9LD",CW10 9LD,SJ6994068400,Cheshire West and Chester,2016-12-14
EPR/DP3136DM,SMITE FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ng13-9du-smite-farms-limited-environmental-permit-issued,"Smite Lane Farm, Smite Lane Farm EPR/DP3136DM, Smite Lane, Thoroton, Nottingham, NG13 9DU",NG13 9DU,SK7583041450,Rushcliffe,2016-11-02
EPR/AP3237RR,BEDFORDIA FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/nn10-0sq-bedfordia-farms-limited-environmental-permit-issued-eprap3237rrv003,"Westwood Poultry Farm, Westwood Poultry Farm EPR/AP3237RR, Land off Bedford Road, Rushden, Northamptonshire, NN10 0SQ",NN10 0SQ,SP9942063970,North Northamptonshire,2016-06-30
EPR/SP3330DF,S KELLY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Barcham Farm, Barcham Poultry Unit - EPR/SP3330DF, Barcham Road, Soham, Ely, Cambridgeshire, CB7 5TU",CB7 5TU,TL5807076380,East Cambridgeshire,2016-06-23
EPR/UP3133DE,TACHBROOK FARMING LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/cv33-9qb-tachbrook-farming-limited-environmental-permit-issued,"Barnwell Farm, Barnwell Poultry Farm EPR/UP3133DE, Harbury Lane, Bishops Tachbrook, Warwickshire, CV33 9QB",CV33 9QB,SP3348060610,Warwick,2016-05-25
EPR/HP3233DM,I D STUBBS FARMING LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Dodsleigh Farm, Dodsleigh Farm Poultry Unit - EPR/HP3233DM, Church View, Dodsleigh, Nr Stoke on Trent, Staffordshire, ST10 4QA",ST10 4QA,SK0162034940,East Staffordshire,2016-05-06
EPR/PP3236RK,RED HALL FARMING LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Red Hall Farm, Red Hall Farm, Middlewich Road, Leighton, Cheshire, CW1 4QU",CW1 4QU,SJ6794058410,Cheshire East,2016-01-26
EPR/HP3836NK,LODGE FARM POULTRY LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/sg7-5jl-lodge-farm-poultry-limited-environmental-permit-issued-eprhp3836nkv002,"Eyeworth Lodge Farm, Eyeworth Lodge Farm, Baldock, Bedfordshire, SG7 5JL",SG7 5JL,TL2573043920,Central Bedfordshire,2015-11-23
EPR/MP3232VB,LINTZ HALL FARM LIMITED.,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Galleyburn Farm, Galleyburn Farm EPR/MP3232VB, Lintzford Road, Hamsterley Mill, County Durham, NE39 1HA",NE39 1HA,NZ1407057000,County Durham,2015-10-07
EPR/SP3039RZ,Cottenham Farm Ltd,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Cottenham Farm, Cottenham Farm Poultry Unit - EPR/SP3039RZ, Broad Lane, Cottenham, Cambridgeshire, CB24 8SW",CB24 8SW,TL4464068560,South Cambridgeshire,2015-09-28
EPR/SP3736ZU,WHITE ROSE FARMS LIMITED,"Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Hutton Grange, Hutton Grange Farm and Birkby Gate Farm Pig Unit - EPR/SP3736ZU, Hutton Bonville, Northallerton, North Yorkshire, DL6 2PT",DL6 2PT,NZ3597000910,North Yorkshire,2015-09-03
EPR/XP3938EY,SUNRISE POULTRY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Paudy Lane Farm, Paudy Lane Farm  EPR/XP3938EY, Paudy Lane, Thrussington, Leicestershire, LE74TB",LE74TB,SK6249019540,Charnwood,2015-09-02
EPR/DP3933VK,TOWNSHEND FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ip22-1lj-townshend-poultry-limited-environmental-permit-issued,"Townshend Poultry Unit, Townshend Poultry Unit - EPR/DP3933VK, Stubbings Entry, The Common, Botesdale, Norfolk, IP22 1LJ",IP22 1LJ,TM0630074000,Mid Suffolk,2015-06-23
EPR/SP3136AV,RATTLEROW FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Round Covert Piggery, Round Covert Pig Unit EPR/SP3136AV, Cranwich Road, Mundford, Thetford, IP26 5JH",IP26 5JH,TL7913093450,Breckland,2015-06-22
EPR/JP3937VJ,MORRELLS FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/cv47-7sf-environmental-permit-issued,"Granary Farm, Granary Farm EPR/JP3937VJ, Welsh Road, Priors Hardwick, Southam, Warwickshire, CV47 7SF",CV47 7SF,SP4730057300,Stratford-on-Avon,2015-03-26
EPR/AP3434WJ,FOSTER FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/yo25-8rt-environmental-permit-issued,"Sajara Farm, Sajara Farm - EPR/AP3434WJ, Leven Road, Brandesburton, Brandesburton, East Yorkshire, YO25 8RT",YO25 8RT,TA1131046860,East Riding of Yorkshire,2015-02-23
EPR/PP3530NJ,VALLEY FARM POULTRY LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ip14-3na-environmental-permit-issued.,"Drove Lane Farm, Drove Lane Farm Poultry Unit - EPR/PP3530NJ, Wetherden, Suffolk, IP14 3NA",IP14 3NA,TM0709064340,Mid Suffolk,2014-11-18
EPR/TP3637ET,HOPSTONE FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/sy7-0qb-environmental-permit-issued,"Hopstone Farm, Hopstone Farm Poultry Unit - EPR/TP3637ET, Heath Farm, Hopton Heath, Clun Valley, Shropshire, SY7 0QB",SY7 0QB,SO3854077110,"Herefordshire, County of",2014-11-06
EPR/JP3039WT,CROCKWAY FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/bs3-4eh-crockway-farms-limited-environmental-permit-issued,"Clapton Lane Piggery, Clapton Lane Pig Unit EPR/JP3039WT, Langleys Lane, Chilcompton, Somerset, BA3 4RX",BA3 4RX,ST6150051100,Somerset,2014-11-04
EPR/MP3430WS,FOXHOLES FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Red House Farm, Red House Farm Poultry Unit - EPR/MP3430WS, Little Ness, Shropshire, SY4 2LG",SY4 2LG,SJ4080020410,Shropshire,2014-09-05
EPR/CP3432VR,WOODSIDE FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ng25-0pw-woodside-farming-limited-environmental-permit-issued,"Woodside Farm, Woodside Farm - EPR/CP3432VR, Newark Road, Hockerton, SOUTHWELL, Nottinghamshire, NG25 0PW",NG25 0PW,SK7190056520,Newark and Sherwood,2014-08-01
EPR/SP3833EM,CORFTON FARMS LTD,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/sy7-9dd-corfton-farms-ltd-environmental-permit-issued,"Corfton Farm, Corfton Farm EPR/SP3833EM, Corfton, Craven Arms, Shropshire, SY7 9DD",SY7 9DD,SO4870085080,Shropshire,2014-07-18
EPR/GP3836NG,H TIMMIS (FARMS) LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/tf10-9as-h-timmis-farms-limited-environmental-permit-issued,"Littlehales Manor Poultry farm, Littlehales Manor Poultry Farm EPR/GP3836NG, Littleshall, Newport, Shropshire, TF10 9AS",TF10 9AS,SJ7488016530,Telford and Wrekin,2014-06-13
EPR/RP3933EU,MERCER FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ln8-3ps-mercer-farming-limited-environmental-permit-issued-eprrp3933euv003,"Gulham Fields Farm Poultry Unit, Gulham Fields Farm Poultry Unit EPR/RP3933EU, Gulham Road, North Owersby, Market Rasen, Lincolnshire, LN8 3PS",LN8 3PS,TF0415094280,West Lindsey,2014-05-02
EPR/PP3235CE,VAUGHANS FARMS LIMITED,"Waste Incineration; Non Hazardous Waste Not In An Incineration Or Co Incineration Plant And > 50Kg/Hr <1T/Hr -  5.1 B A)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/hr6-9qu-vaughans-farms-ltd-environmental-permit-issued,"Oakfields Farm, Oakfields Farm  EPR/PP3235CE, Kingsland, Herefordshire, HR6 9QU",HR6 9QU,SO4584061140,"Herefordshire, County of",2014-04-08
EPR/XP3939EQ,RATTLEROW FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Barrow Clump Farm, Barrow Clump Farm - EPR/XP3939EQ, Brandon Road, Elveden, Norfolk, IP24 3TP",IP24 3TP,TL8270077500,West Suffolk,2013-12-16
EPR/SP3236NG,MEADOW FARM HOUSE LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Meadow Farm House, Meadow Farm House EPR/SP3236NG, Marsh Lane, Healing, Grimsby, North East Lincolnshire, DN41 7RZ",DN41 7RZ,TA2189011720,North East Lincolnshire,2013-11-05
EPR/BP3337FH,Ivy Farmyard Limited,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Ivy House Farm, Ivy House Farm Pig Unit, West Felton, Whittington, Shropshire, SY11 4PJ",SY11 4PJ,SJ3519025940,Shropshire,2013-11-01
EPR/TP3132NJ,STURDEE POULTRY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/le12-5al-sturdee-poultry-farms-limited-environmental-permit-partial-surrender-issued-eprtp3132njs003,"1, Wheeler Poultry Unit EPR/TP3132NJ, Sowters Lane, Burton-on-the-Wolds, Leicestershire, LE12 5AL",LE12 5AL,SK5930021000,Charnwood,2013-07-05
EPR/UP3632NT,ALAN SIMPSON FARMING LTD,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Lower Heath Farm, Lower Heath Farm Poultry Unit EPR/UP3632NT/V002, Darliston, Whitchurch, Shropshire, SY13 2BQ",SY13 2BQ,SJ5788032580,Shropshire,2013-06-17
EPR/CP3937CD,Daniel Blenkiron trading as Blenkiron Farming Company,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/dl7-0pf-daniel-blenkiron-trading-as-blenkiron-farming-company-environmental-permit-issued,"Laark Hall Farm, Lark Hall Farm EPR/CP3937CD, Ainderby Steeple, Northallerton, North Yorkshire, DL7 0PF",DL7 0PF,SE3494092670,North Yorkshire,2013-05-17
EPR/MP3437ZR,OAKLANDS FARM EGGS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Gearns Farm, Gearns Farm Poultry Unit EPR/MP3437ZR, Holsworthy Beacon, Holsworthy, Devon, EX22 7NF",EX22 7NF,SS3460008210,Torridge,2013-05-07
EPR/CP3439NB,BRIGHT FARMING LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Broadhayes Farm, Broadhayes Pig Unit EPR/CP3439NB, Stockland, Devon, EX14 9EL",EX14 9EL,ST2320002400,East Devon,2013-05-07
EPR/YP3136ZQ,CROCKWAY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/dt2-9nw-crockway-farms-limited-environmental-permit-issued-epryp3136zqv006,"Upper and Lower Pig Units at Crockway Farm, Upper and Lower Pig Units at Crockway Farm, Maiden Newton, Dorchester, Dorset, DT2 9NW",DT2 9NW,SY6150096060,Dorset,2013-04-24
EPR/DP3534CG,R.W.KIDNER (FARMS) LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"West Green Farm, West Green Farm Poultry Units - EPR/DP3534CG, West Green, Poringland, Norfolk, NR14 7LP",NR14 7LP,TG2619000850,South Norfolk,2013-02-15
EPR/UP3934ZG,ELVEDEN FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Spey Farm Pig Unit, Spey Farm Pig Unit EPR/UP3934ZG, The Avenue, Icklingham, BURY ST. EDMUNDS, Suffolk, IP28 6PZ",IP28 6PZ,TL7615074240,West Suffolk,2013-01-28
EPR/ZP3532CB,RATTLEROW FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Barley Brigg Farm, Barley Brigg Farm EPR/ZP3532CB, Laxfield Road, Stradbroke, Suffolk, IP21 5NQ",IP21 5NQ,TM2535073680,Mid Suffolk,2012-12-21
EPR/LP3835ZJ,ALLEN FARMS (CODDINGTON) LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ng24-2ra-allen-farms-coddington-limited-environmental-permit-issued-eprlp3835zjv002,"Drove Cottage Farm, Drove Cottage Farm Pig Unit  EPR/LP3835ZJ, Drove Lane, Coddington, Nottinghamshire, NG24 2RA",NG24 2RA,SK8341055680,Newark and Sherwood,2012-11-22
EPR/NP3937CG,WELLAND FARMING LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Court Lane Farm, Court Lane Farm EPR/NP3937CG, South Kilworth Road, Welford, Northamptonshire, NN6 6HH",NN6 6HH,SP6351079520,West Northamptonshire,2012-11-20
EPR/JP3433CT,COURT HOUSE FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Waterloo Farm, Waterloo Farm - EPR/JP3433CT, Sproxton, North Yorkshire, YO62 5EJ",YO62 5EJ,SE5783581360,North Yorkshire,2012-10-10
EPR/EP3235FG,FOXTON FARMERS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Manor Farm, Manor Farm Pig Unit - EPR/EP3235FG, Swine Lane, Coniston, North Humberside, HU11 4JX",HU11 4JX,TA1546035370,East Riding of Yorkshire,2012-09-13
EPR/CP3331CD,OAKLANDS FARM EGGS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Down Farm, Down Farm Poultry Unit EPR/CP3331CD, Thornbury, Devon, EX22 7DT",EX22 7DT,SS3716008760,Torridge,2012-08-01
EPR/BP3634CG,WILLIAM ANDERSON FARMERS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Ainderby Miers Farm, Ainderby Myers Hen Houses 1 & 2 - EPR/BP3634CG, Ainderby Miers, North Yorkshire, DL8 1PF",DL8 1PF,SE2564092730,North Yorkshire,2012-07-10
EPR/NP3732CW,HOSELEY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ch4-9ln-environmental-permit-issued,"Green Bank Poultry Farm, Green Bank Farm EPR/NP3732CW, Welsh Road, Balderton, Chester, CH4 9LN",CH4 9LN,SJ3608002020,Cheshire West and Chester,2012-06-20
EPR/PP3636CB,OAKLANDS FARM EGGS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Worden Farm, Worden Farm Poultry Unit EPR/PP3636CB, Milton Damerel, Devon, EX22 7NT",EX22 7NT,SS3787011790,Torridge,2012-06-14
EPR/ZP3737FA,BURNBY FARMS,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Marlborough House Duck Farm, Marlborough House Duck Farm - EPR/ZP3737FA, Burnby, York, East Yorkshire, YO42 1RS",YO42 1RS,SE8317046900,East Riding of Yorkshire,2012-05-31
EPR/TP3934FH,EAST SHAWS FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"East Shaws Farm, East Shaws Farm  EPR/TP3934FH, Westwick Road, Near Barnard Castle, Durham, DL12 8UT",DL12 8UT,NZ0904015140,County Durham,2011-11-21
EPR/CP3234FL,ST. LAWRENCE HALL FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/pe15-0qw-environmental-permit-issued,"Hooks Drove Poultry Farm, Hooks Drove Poultry Farm - EPR/CP3234FL, Hook Drove, Wimblington, Cambridgeshire, PE15 0QW",PE15 0QW,TL4228093120,Fenland,2011-09-26
EPR/XP3337HH,HOLCOMBE MANOR FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Holcombe Manor, Holcombe Manor Farm Poultry Unit - EPR/XP3337HH, Holcombe Lane, OTTERY ST. MARY, Devon, EX11 1PG",EX11 1PG,SY1132096640,East Devon,2011-07-19
EPR/EP3935FY,COURT FARM CHICKENS LIMITED,"Waste Incineration; Non Hazardous Waste Not In An Incineration Or Co Incineration Plant And > 50Kg/Hr <1T/Hr -  5.1 B A)|Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/hr2-8ht-court-farm-chickens-limited-environmental-permit-issued,"Court Farm, Court Farm Poultry Site - EPR/EP3935FY, Much Birch, Herefordshire, HR2 8HT",HR2 8HT,SO5037029870,"Herefordshire, County of",2011-07-01
EPR/QP3237HB,VALLEY FARM POULTRY LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"G O Farm, G O Farm Poultry Unit EPR/QP3237HB, Splayne's Green, Fletching, East Sussex, TN22 3YB",TN22 3YB,TQ4306025290,Wealden,2011-04-28
EPR/PP3835HK,OAKRIDGE FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Weston House Farm Poultry Unit, Weston House Farm Poultry Unit - EPR/PP3835HK, Brockton, Much Wenlock, Shropshire, TF13 6QT",TF13 6QT,SO5997092970,Shropshire,2011-04-13
EPR/GP3731HZ,OAKLANDS FARM EGGS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Harper Adams University College, Harper Adams University College Poultry Unit - EPR/GP3731HZ, Edgmond, Shropshire, TF10 8NB",TF10 8NB,SJ7144019850,Telford and Wrekin,2011-03-08
EPR/TP3431HD,S KELLY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/nr15-1et-s-kelly-farms-limited-environmental-permit-issued,"Littlebeck Poultry Farm, Littlebeck Poultry Farm  EPR/TP3431HD, Littlebeck Lane, Brooke, Norfolk, NR15 1ET",NR15 1ET,TM2876097670,South Norfolk,2011-03-02
EPR/MP3235TU,R & J FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Weighton Wold Farm, Weighton Wold Farm EPR/MP3235TU, Beverley Road, Market Weighton, North Yorkshire, YO43 4NE",YO43 4NE,SE9003041650,East Riding of Yorkshire,2011-02-22
EPR/SP3437TR,WALK FARM EGGS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Cat Babbleton Farm, Cat Babbleton Farm Poultry Unit - EPR/SP3437TR, Ganton, SCARBOROUGH, North Yorkshire, YO12 4PQ",YO12 4PQ,TA0010074460,North Yorkshire,2011-02-11
EPR/RP3339HK,HOLLOWAY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Hollywell Farm, Hollywell Farm EPR/RP3339HK, Chelveston Road, Stanwick, Northamptonshire, NN9 6TZ",NN9 6TZ,SP9823070350,North Northamptonshire,2011-01-11
EPR/ZP3637KY,WHITE COTTAGE FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"White Cottage Farm, White Cottage Farm Poultry Unit - EPR/ZP3637KY, Combs Lane, Great Finborough, Suffolk, IP14 3BN",IP14 3BN,TM0338058460,Mid Suffolk,2010-11-01
EPR/EP3739HL,WHITE ROSE FARMS LIMITED,Intensive Farming; >750 Sows -  6.9 A(1) a) (iii),,"Barrow Farm, Barrow Farm Pig Unit - EPR/EP3739HL, Ganton, SCARBOROUGH, North Yorkshire, YO12 4PQ",YO12 4PQ,TA0019075190,North Yorkshire,2010-10-15
EPR/QP3037KP,RAGLINGTON FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Broadcroft, Raglington Farm Poultry Unit - EPR/QP3037KP, Botley Road, Shedfield, SOUTHAMPTON, Hampshire, SO32 2HL",SO32 2HL,SU5415013350,Winchester,2010-06-23
EPR/KP3735KM,ANNAKIN FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Mapleton Farm, Mapleton Poultry Unit - EPR/KP3735KM, Moor Lane, Horsington, Lincolnshire, LN10 5EJ",LN10 5EJ,TF1994066730,East Lindsey,2010-06-09
EPR/ZP3537KR,WHITE COTTAGE FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Valley Farm, Valley Farm Poultry Unit EPR/ZP3537KR, Valley Lane, Great Finborough, Suffolk, IP14 3BD",IP14 3BD,TM0175056890,Mid Suffolk,2010-04-29
EPR/DP3431XD,I S J FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Cherry Tree Farm, Cherry Tree Farm EPR/DP3431XD, Cherry Tree Lane, Dalbury Lees, Derbyshire, DE6 5BE",DE6 5BE,SK2660037900,South Derbyshire,2009-09-17
EPR/MP3830KJ,OAKLANDS FARM EGGS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Burbage, Southgrove Farm - EPR/MP3830KJ, Marlborough, Wiltshire, SN8 3RX",SN8 3RX,SU2270058100,Wiltshire,2009-06-30
EPR/NP3039GY,OAKLANDS FARM EGGS LIMITED,"Waste Incineration; Non Hazardous Waste Not In An Incineration Or Co Incineration Plant And > 50Kg/Hr <1T/Hr -  5.1 B A)|Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Perry Farm, Perry Farm Poultry Unit - EPR/NP3039GY, Whittington, Shropshire, SY11 4PF",SY11 4PF,SJ3474030310,Shropshire,2009-01-09
EPR/TP3037MU,OAKLANDS FARM EGGS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Oaklands, The Oaklands EPR/TP3037MU, Edstaston, Wem, Shropshire, SY4 5RF",SY4 5RF,SJ5107033260,Shropshire,2008-04-11
EPR/XP3539XH,M. E. FURNISS & SONS (FARMS),"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/tf10-8bn-me-furniss-sons-farms-environmental-permit-issued-eprxp3539xhv003,"New House Farm, New House Farm, Chester Road, Chetwynd, Shropshire, TF10 8BN",TF10 8BN,SJ7282021420,Telford and Wrekin,2008-03-31
EPR/LP3539UR,HARVEY FARMS (WINTERBOURNE) LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/sp4-6hq-harvey-farms-winterbourne-limited-eprlp3539urv007-environmental-permit-issued,"Manor Farm, Harveys farms ( Winterbourne) Ltd, Manor Farm EPR/LP3539UR, Winterbourne Earls, Salisbury, Wiltshire, SP4 6HQ",SP4 6HQ,SU1788033910,Wiltshire,2008-03-31
EPR/XP3431MU,RATTLEROW FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Mundford Farm, Mundford Farm Pig Unit - EPR/XP3431MU, Cranwich Road, Mundford, Thetford, IP26 5JJ",IP26 5JJ,TL7880094000,Breckland,2008-03-27
EPR/HP3137MR,SEWELL HEWITT FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Hill Farm, Hill Farm Pig Unit - EPR/HP3137MR, Chillesford, Suffolk, IP12 3PY",IP12 3PY,TM3959052300,East Suffolk,2008-02-08
EPR/RP3237MG,SUNRISE POULTRY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"250, Seagrave Road Poultry Farm - EPR/RP3237MG, Seagrave Road, Sileby, Sileby, Leicestershire, LE12 7NJ",LE12 7NJ,SK6130016660,Charnwood,2008-02-07
